C;Attack On Titan, Vol. 1;El inicio del manga épico de Hajime Isayama: la humanidad lucha por sobrevivir tras la aparición de los Titanes.;12.99;150;Aventura,Fantasia;193;Hajime Isayama;Kodansha Comics;2012,6,5;;;;;;;aotVol1.png;
J;Carcassonne;Juego de estrategia por turnos en el que los jugadores construyen un paisaje medieval colocando losetas y meeples.;34.99;80;Estrategia;;;;;2;>7 años;TABLERO;;;;carcasonne.png;
J;Catan;El clásico juego de estrategia en el que los jugadores colonizan la isla de Catan recogiendo y comerciando recursos.;44.99;60;Estrategia;;;;;3;>10 años;TABLERO;;;;catan.png;
C;Death Note, Vol. 1;El genio estudiante Light Yagami encuentra un cuaderno sobrenatural capaz de matar a cualquiera cuyo nombre escriba.;10.99;200;Fantasia,Terror;195;Tsugumi Ohba;Viz Media;2005,10,10;;;;;;;deathNote.png;
J;Dobble;Rápido juego de cartas en el que los jugadores compiten por encontrar el símbolo común entre dos cartas.;14.99;120;Familiar;;;;;2;>6 años;CARTAS;;;;dobble.png;
C;Dragon Ball, Vol. 1;Las primeras aventuras de Goku niño en busca de las esferas del dragón junto a Bulma y sus amigos.;10.99;250;Aventura;192;Akira Toriyama;Viz Media;2003,3,1;;;;;;;dragonBall.png;
F;Figura Goku Super Saiyan;Figura coleccionable de alta calidad de Goku en su transformación Super Saiyan, de la saga Dragon Ball Z.;29.99;40;Aventura;;;;;;;;Bandai;PVC;18cm alto;figuraGoku.png;
F;Figura Iron Man Mark XLII;Detallada figura del icónico armadura Mark XLII de Tony Stark, tal como aparece en Iron Man 3.;34.99;30;CienciaFiccion;;;;;;;;Hot Toys;PVC;20cm alto;figuraIronMan.png;
F;Figura Spider-Man;Figura articulada del Hombre Araña en su clásico traje rojo y azul, perfecta para coleccionistas de Marvel.;29.99;35;Aventura,Fantasia;;;;;;;;Hasbro;PVC;17cm alto;figuraSpiderMan.png;
F;Funko Pop! Darth Maul;Figura Funko Pop! del sith Darth Maul, con sus icónicos cuernos y el doble sable de luz rojo.;15.00;50;CienciaFiccion;;;;;;;;Funko Europe;Vinilo;10.9cm alto;funkoMaul.png;
C;Mazinger Z, Vol. 1;El manga clásico de Go Nagai que dio origen al género de los robots gigantes: Koji Kabuto pilota el poderoso Mazinger Z.;9.99;100;CienciaFiccion,Aventura;200;Go Nagai;Dynamic Production;1972,10,1;;;;;;;mazingerZ.png;
J;Monopoly;El famoso juego de mesa en el que los jugadores compran, venden y construyen propiedades para arruinar a sus rivales.;39.99;70;Familiar;;;;;2;>8 años;TABLERO;;;;monopoly.png;
C;Oishinbo: Japanese Cuisine, Vol. 1;Manga gastronómico que sigue al periodista Shiro Yamaoka en su búsqueda de la cocina japonesa perfecta.;11.99;80;Aventura;208;Tetsu Kariya;Viz Media;2009,4,14;;;;;;;oishimin.png;
J;Uno;El clásico juego de cartas en el que los jugadores se deshacen de sus cartas usando colores y números, con cartas especiales.;9.99;150;Familiar;;;;;2;>6 años;CARTAS;;;;uno.png;
